Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.3182697,277.1180514,338.1399736,346.0716271,338.6372739,363.6401414,367.7583117,410.7577289,417.6472826,488.8306525,542.8710305,525.4269828,568.9290215,580.6038333,575.1462458,565.5697304,563.8723367,562.7695741,553.1251517,557.8615332,527.8345545,408.6258552,377.6656271,379.7074973
AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,2835.459185,2613.739386,2519.351585,2529.401923,2583.619826,2577.465092,2557.958838,2571.496919,2637.781855,2550.294313,2380.176243,2324.369376,2118.166545,1559.517152,1529.994431,1701.697277,1867.935031,1936.916193,1961.037225,1938.86184,1932.988479,1947.85673,2139.872597,2128.195793,2277.866965,2526.410579,2716.253026,2983.041873,3193.287723,3100.609274,3114.696086,3099.94229,3236.574945,3268.638907,3300.73511,3213.902611,3020.983328,2911.600842,2775.746423,2664.43851,2433.376373,2385.448818,2382.02264,2332.886913
ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,1740.505838,1804.010779,1818.36782,1799.878617,1740.347682,1735.290312,1798.01508,1748.57872,1691.530949,1808.646078,1606.296468,1163.491598,1086.438771,1197.580908,1305.001061,1488.020881,1633.552,1464.297963,1603.64765,1821.873131,1960.88246,2143.526839,2247.49808,2380.644621,2522.449374,2675.508637,2851.367759,3044.896617,3298.478908,3432.170872,3577.114325,3678.047701,3736.34008,3780.699193,3855.760744,3952.803574,4090.372728,4249.820049,4431.555595,4542.268663,4417.041051,4858.052015,5154.827498,5419.637791
ARE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,49105.84682,57374.99238,69436.76479,108198.8175,110539.679,105792.8297,108662.7466,114430.0528,98826.10173,106042.1742,117949.3765,113999.5095,100275.2599,90186.17698,88731.21951,81077.257,64745.48656,62391.55192,56872.35699,60031.8691,66979.15591,63905.62647,62667.13544,60391.46558,61614.34159,62860.27732,62334.40665,62177.42838,57785.03114,55354.94396,57365.39833,54574.81416,52607.66151,54020.47356,56027.61004,55777.90183,57053.78956,52428.06807,48281.34779,42991.55351,42645.63596,43800.1593,42868.0975,43269.84046,43023.19042,43534.99727,43745.28817,42690.21478,42679.75191,42700.12979,40776.63087,41778.58387,42687.72072,42507.78734
ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,7397.109655,7670.595456,7480.271724,6967.750196,7551.024908,8219.551556,8041.224874,8172.274565,8436.308564,9111.945975,9244.122518,9614.610617,9617.688149,9729.532589,10100.44691,9936.495834,9584.748518,10088.33749,9480.940095,10284.60641,10275.7987,9587.673794,9365.684654,9617.700057,9614.447262,8973.318749,9378.468664,9484.458766,9236.807713,8445.410092,8115.093864,8729.823185,9293.186923,9920.673586,10359.89272,9934.107761,10352.14,11056.68813,11348.20221,10838.31993,10631.65036,10051.94485,8861.561993,9545.531941,10302.44653,11099.75092,11870.27916,12811.90212,13197.35703,12285.37847,13387.15537,14040.61891,13754.42542,13946.09508,13456.13192,13679.6265,13265.88606,13520.11298,13058.32854,12706.39781,11393.0506,12549.28117,13182.7934,12933.24973
ARM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1644.022145,1426.827914,840.2052592,792.5678592,857.3944748,932.3578295,995.7282753,1039.079824,1128.098888,1180.45342,1229.215104,1351.120727,1535.204529,1759.646848,1955.222625,2240.092732,2551.435464,2919.373494,3141.331935,2716.974363,2796.081434,2943.836871,3159.758608,3266.29883,3393.092523,3512.393503,3533.885036,3815.374743,4027.83393,4343.458396,4032.090435,4264.799615,4791.004817,5151.012731
ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13054.63643,13201.73475,13291.53566,13284.27911,12794.7565,13092.31114,12809.46331,12342.05754,12446.30863,12521.80951,12068.26674,11871.79372,12203.08947,12727.41027,12665.28299,11930.77712,12412.60241,12524.01603,13194.27474,13233.57848,13709.09749,
ATG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,6061.443566,6309.755867,6794.561602,7321.840516,7583.315679,7562.892064,7950.263935,8765.440316,9477.961907,10619.16559,11381.23077,12035.39299,12727.13091,13164.22721,13382.6739,13323.94429,13774.46895,14417.93614,13517.21208,14115.43828,14585.78895,14989.18439,15280.32158,15958.31328,15000.83363,14965.46969,15701.24464,16430.54086,17298.22657,19256.30063,20766.68642,20461.25648,17743.6224,16132.61187,15631.21349,15986.58555,15745.47531,15966.5831,16080.65805,16635.73189,16951.50635,18038.85329,18508.97837,14935.61502,16071.08432,17507.38922,18090.77352
AUS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,19905.31347,19997.545,19767.95708,20597.92606,21607.49222,22455.25098,22470.51761,23587.62812,24355.62825,25531.53653,26829.7631,26975.66552,27520.00051,27812.44551,28231.02391,28258.06548,28700.29463,29399.00248,29318.74636,30178.38945,30717.77803,31251.82033,31736.04475,30608.3684,31632.38927,32861.41624,33674.17055,34014.73541,35389.45533,36143.14778,36886.14443,36279.75405,36029.48457,37155.5124,38264.14667,39310.79823,40337.10605,41464.49822,42967.66167,44636.94181,45859.51621,46191.31424,47486.27832,48394.12695,49902.0187,50853.19767,51553.9686,52531.76112,53336.10122,53237.00776,53578.8125,54111.35724,55257.57393,55728.0174,56327.85331,56739.02653,57401.06623,57750.64822,58530.78217,58924.73365,58132.79852,59276.50311,61009.80771,61583.91889
AUT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,11894.74408,12484.8087,12737.18532,13179.3524,13893.58579,14283.99732,14984.55297,15320.35827,15922.6386,16863.58628,18001.783,18838.31554,19891.82603,20749.34403,21530.63416,21509.31239,22533.88039,23669.50865,23638.77836,24947.5271,25379.46294,25278.29533,25768.21928,26577.2455,26592.54699,27244.21477,27853.50496,28213.66335,29102.3223,30097.65134,31167.18581,31919.5573,32231.12172,32134.82991,32780.34203,33603.42777,34301.65626,34998.03206,36180.74908,37468.86995,38571.08585,38929.75382,39313.72261,39569.28864,40333.33071,40989.01322,42120.15578,43568.83027,44063.86424,42372.47584,43035.40747,44146.19576,44221.46,43851.36755,43838.83468,43915.22802,44362.67029,45056.63869,45951.5819,46550.56234,43428.69831,45313.399,47250.96959,46338.95712
