Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Unnamed: 68
AFG,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000.0,21000.0,45000.0,52000.0,45000.0,51000.0,67000.0,91000.0,107000.0,194000.0,210000.0,121000.0,195000.0,294000.0,366000.0,425000.0,481000.0,528000.0,650000.0,595000.0,592000.0,397000.0,261000.0,218000.0,218000.0,,,,,
ALB,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304000.0,287000.0,119000.0,184000.0,371000.0,317000.0,354000.0,470000.0,557000.0,645000.0,748000.0,937000.0,1127000.0,1420000.0,1856000.0,2417000.0,2932000.0,3514000.0,3256000.0,3673000.0,4131000.0,4736000.0,5118000.0,5927000.0,6406000.0,2658000.0,,,,
ARE,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19313000.0,20894000.0,21805000.0,23092000.0,25282000.0,8084000.0,,,,
ARG,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2289000.0,2614000.0,2764000.0,3012000.0,2898000.0,2909000.0,2620000.0,2820000.0,2995000.0,3457000.0,3823000.0,4173000.0,4562000.0,4700000.0,4308000.0,6800000.0,6703000.0,6497000.0,6510000.0,7165000.0,6816000.0,6668000.0,6711000.0,6942000.0,7399000.0,,,,,
ARM,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000.0,13000.0,23000.0,32000.0,41000.0,45000.0,123000.0,162000.0,206000.0,263000.0,319000.0,382000.0,511000.0,558000.0,575000.0,684000.0,758000.0,963000.0,1084000.0,1204000.0,1192000.0,1260000.0,1495000.0,1652000.0,1894000.0,375000.0,,,,
ASM,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34000.0,35000.0,26000.0,36000.0,41000.0,44000.0,36000.0,,,,24500.0,25299.9992370605,24100.0003814697,24299.9992370605,23500.0,23100.0003814697,22600.0003814697,22600.0003814697,20799.9992370605,21600.0003814697,20299.9992370605,20100.0003814697,20000.0,20200.0007629395,19200.0007629395,899.999976158142,,,,
ATG,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447000.0,498000.0,526000.0,570000.0,560000.0,634000.0,624000.0,528000.0,623000.0,769000.0,712000.0,838000.0,935000.0,863000.0,944000.0,788000.0,848000.0,819000.0,777000.0,771000.0,894000.0,874000.0,1040000.0,1064000.0,1035000.0,384500.0,,,,
AUS,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3726000.0,4165000.0,4318000.0,4167000.0,4459000.0,4931000.0,4856000.0,4841000.0,4746000.0,5215000.0,5499000.0,5532000.0,5644000.0,5586000.0,5490000.0,5790000.0,5771000.0,6032000.0,6482000.0,6922000.0,7449000.0,8269000.0,8815000.0,9246000.0,9466000.0,1828000.0,,,,
AUT,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17173000.0,17090000.0,16647000.0,17352000.0,17467000.0,17982000.0,18180000.0,18611000.0,19078000.0,19374000.0,19952000.0,20269000.0,20773000.0,21935000.0,21355000.0,22004000.0,23012000.0,24151000.0,24813000.0,25291000.0,26728000.0,28121000.0,29460000.0,30816000.0,31884000.0,15091000.0,,,,
AZE,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93000.0,210000.0,306000.0,483000.0,602000.0,681000.0,767000.0,834000.0,1038000.0,1279000.0,1177000.0,1194000.0,1333000.0,1899000.0,1830000.0,1963000.0,2239000.0,2484000.0,2509000.0,2298000.0,2006000.0,2249000.0,2697000.0,2850000.0,3170000.0,796000.0,,,,
BDI,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34000.0,27000.0,11000.0,15000.0,26000.0,29000.0,36000.0,74000.0,74000.0,133000.0,148000.0,214000.0,192000.0,202000.0,212000.0,142000.0,144000.0,147000.0,234000.0,235000.0,131000.0,187000.0,299000.0,,,,,,,
BEL,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5560000.0,5829000.0,6037000.0,6179000.0,6369000.0,6457000.0,6452000.0,6720000.0,6690000.0,6710000.0,6747000.0,6995000.0,7045000.0,7165000.0,6815000.0,7186000.0,7494000.0,7560000.0,7684000.0,7887000.0,8355000.0,7481000.0,8385000.0,9119000.0,9343000.0,2584000.0,,,,
BEN,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580000.0,516000.0,541000.0,575000.0,941000.0,1068000.0,1155000.0,853000.0,850000.0,845000.0,960000.0,975000.0,1010000.0,1027000.0,,,222000.0,232000.0,252000.0,265000.0,279000.0,292000.0,307000.0,322000.0,337000.0,,,,,
BFA,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124000.0,131000.0,138000.0,160000.0,117000.0,126000.0,128000.0,150000.0,163000.0,222000.0,245000.0,264000.0,289000.0,272000.0,269000.0,274000.0,238000.0,237000.0,218000.0,191000.0,163000.0,152000.0,143000.0,144000.0,143000.0,67000.0,,,,
BGD,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156000.0,166000.0,182000.0,172000.0,173000.0,199000.0,207000.0,207000.0,245000.0,271000.0,208000.0,200000.0,289000.0,467000.0,267000.0,139000.0,157000.0,160000.0,104000.0,134000.0,126000.0,182000.0,237000.0,267000.0,323000.0,,,,,
