iso,country_name,avg_gdp_per_capita,avg_deaths_per_flood,num_floods
BGD,Bangladesh,696.48,625.3294,85
IND,India,1001.63,280.0317,284
CHN,China,4825.41,236.0036,276
PAK,Pakistan,1258.59,151.8909,110
NPL,Nepal,677.24,149.5185,54
COD,"Congo, The Democratic Republic of the",458.81,142.0741,27
SOM,Somalia,345.47,103.6667,30
KOR,"Korea, Republic of",14534.28,101.3684,38
KHM,Cambodia,1041.1,98.1176,17
PRI,"Puerto Rico",22154.25,97.1667,6
TJK,Tajikistan,812.6,86.9474,19
HTI,Haiti,1410.98,78.8462,52
HUN,Hungary,8398.5,77.5000,4
BTN,Bhutan,1809.61,77.3333,3
NGA,Nigeria,2105.2,76.2368,38
JPN,Japan,27153.51,63.5909,44
TUN,Tunisia,2490.1,60.8750,16
EGY,Egypt,2448.89,59.7692,13
PRT,Portugal,14333.01,59.6000,10
ETH,Ethiopia,370.74,58.5385,39
THA,Thailand,4269.17,56.4054,74
MOZ,Mozambique,474.8,55.1000,30
BRA,Brazil,7356.68,54.1895,153
VNM,"Viet Nam",2029,54.1134,97
IRN,"Iran, Islamic Republic of",4155.87,53.5733,75
MAR,Morocco,2279.78,53.3043,23
SDN,Sudan,1132.3,52.1333,30
AFG,Afghanistan,460.29,47.0000,75
ZAF,"South Africa",5456.51,45.2955,44
COL,Colombia,4895.08,44.7500,80
CHL,Chile,9223.75,44.5714,28
KEN,Kenya,1362.42,44.2745,51
GTM,Guatemala,3531.48,44.0000,24
MWI,Malawi,460.92,43.9130,23
YEM,Yemen,1688.77,43.6000,35
SLV,"El Salvador",3115.72,43.0000,16
DZA,Algeria,3894.46,41.2444,45
ECU,Ecuador,4947.58,40.0800,25
PER,Peru,4632.71,40.0508,59
ESP,Spain,22680.73,38.0938,32
NAM,Namibia,3935.48,37.7143,7
DOM,"Dominican Republic",4947.12,37.2500,24
NIC,Nicaragua,1851.97,36.7857,14
MEX,Mexico,9022.53,35.4154,65
IDN,Indonesia,2567.18,35.1250,208
MMR,Myanmar,793.45,33.7778,27
HKG,"Hong Kong",16212.02,33.0000,9
SSD,"South Sudan",1351.58,32.6000,5
PHL,Philippines,2222.4,31.8151,119
BOL,"Bolivia, Plurinational State of",2481.98,31.7442,43
ZWE,Zimbabwe,1381.83,31.3000,10
HND,Honduras,1991.64,31.2903,31
NER,Niger,468.34,31.2333,30
LKA,"Sri Lanka",2786.6,30.7463,67
DEU,Germany,37253.45,28.3000,10
TCD,Chad,573.73,25.5714,14
RWA,Rwanda,727.26,25.1667,24
AGO,Angola,2674.36,24.7778,36
SLE,"Sierra Leone",870.01,24.3750,8
RUS,"Russian Federation",7045.7,23.4848,33
SLB,"Solomon Islands",2024.86,23.3333,3
PRY,Paraguay,5209.13,22.7778,9
TUR,Turkey,8290.89,22.6000,40
TZA,"Tanzania, United Republic of",811.95,22.3333,42
GHA,Ghana,1524.58,22.2500,24
LSO,Lesotho,677.1,22.0000,3
ITA,Italy,28896.22,21.8250,40
SAU,"Saudi Arabia",22247.2,20.6957,23
LAO,"Lao People's Democratic Republic",1676.59,19.4118,17
UGA,Uganda,815.04,18.0690,29
MDG,Madagascar,447.04,18.0000,9
JAM,Jamaica,4528.36,17.6250,8
BEN,Benin,935.7,17.5714,14
CIV,"Côte d'Ivoire",1829.95,16.7692,13
USA,"United States",48975.41,15.5462,130
BDI,Burundi,288.87,15.2500,16
ARG,Argentina,11007.22,14.5882,34
POL,Poland,9282.29,14.3750,8
BFA,"Burkina Faso",549.97,14.2308,13
MNG,Mongolia,3017.8,14.1250,8
TGO,Togo,658.45,13.8333,6
IRQ,Iraq,4217.58,13.3333,12
MDA,"Moldova, Republic of",1809.51,12.2000,5
SRB,Serbia,6210.18,12.0000,5
COG,Congo,2048.93,11.8750,8
MYS,Malaysia,7762.28,11.8421,38
ROU,Romania,6767.65,11.3846,39
BEL,Belgium,39462.83,11.0000,4
BWA,Botswana,4820.83,10.7500,4
KAZ,Kazakhstan,8465.08,10.6667,6
JOR,Jordan,3672.35,10.6000,5
GMB,Gambia,672.98,10.2500,8
MLI,Mali,630.69,9.8235,17
PNG,"Papua New Guinea",2169.4,9.5556,9
SEN,Senegal,1179.61,9.2727,11
CZE,Czechia,14831.57,9.0909,11
UKR,Ukraine,2127.77,9.0000,10
ISR,Israel,34210.86,9.0000,4
PAN,Panama,8458.69,8.7600,25
GRC,Greece,18434.79,8.7500,16
GEO,Georgia,2414.65,8.7143,7
CUB,Cuba,5269.2,8.6667,15
CMR,Cameroon,1307.98,8.4375,16
MKD,"North Macedonia",4716.06,8.0000,4
FRA,France,32926.52,7.6316,38
FJI,Fiji,3845.48,7.4444,9
ZMB,Zambia,1066.35,7.3636,11
MRT,Mauritania,1514.76,7.2727,11
AZE,Azerbaijan,2492.06,6.3333,3
AUS,Australia,46457.75,6.3043,46
CRI,"Costa Rica",8323.01,6.2917,24
BIH,"Bosnia and Herzegovina",4942.63,6.2000,5
SVK,Slovakia,12976.91,6.0909,11
GIN,Guinea,770,5.8571,7
BGR,Bulgaria,6174.23,5.7333,15
CAF,"Central African Republic",451.56,4.5714,7
AUT,Austria,37707.41,4.4000,10
URY,Uruguay,13075.07,3.6667,6
GBR,"United Kingdom",39315.96,3.5294,17
LBR,Liberia,582.08,3.5000,4
OMN,Oman,18235.51,3.5000,4
CAN,Canada,39301.31,3.3333,18
CHE,Switzerland,76292.83,3.3333,3
ALB,Albania,2967.91,3.0000,8
SYR,"Syrian Arab Republic",975.53,3.0000,3
NZL,"New Zealand",32678.32,2.1429,7
TLS,Timor-Leste,1266.7,2.0000,4
