iso,country_name,start_year,literacy_rate,num_cyclones,total_homeless,avg_homeless_per_cyclone
PHL,Philippines,1990,94,1,1110020,1110020.00
LAO,"Lao People's Democratic Republic",1995,60,1,1000000,1000000.00
VNM,"Viet Nam",1989,88,2,781000,390500.00
PHL,Philippines,2019,96,1,342165,342165.00
MEX,Mexico,2005,92,1,300000,300000.00
BGD,Bangladesh,1991,35,1,300000,300000.00
IND,India,2011,69,1,250000,250000.00
PRI,"Puerto Rico",2017,92,1,210000,210000.00
CHN,China,2010,95,1,186000,186000.00
CUB,Cuba,2012,100,1,162605,162605.00
PHL,Philippines,1994,94,2,317949,158974.50
IND,India,2006,63,1,150000,150000.00
PHL,Philippines,2000,93,1,120000,120000.00
BGD,Bangladesh,2016,73,1,119700,119700.00
VNM,"Viet Nam",2009,94,1,108635,108635.00
PHL,Philippines,1980,83,5,540079,108015.80
CHN,China,1990,78,2,210000,105000.00
PHL,Philippines,2003,93,2,83203,41601.50
MEX,Mexico,2007,93,1,30000,30000.00
HND,Honduras,2001,80,1,25270,25270.00
BGD,Bangladesh,1981,29,1,25000,25000.00
CHN,China,2000,91,2,42165,21082.50
SLV,"El Salvador",2009,84,1,15000,15000.00
BGD,Bangladesh,2019,75,1,10000,10000.00
HND,Honduras,2010,85,1,7998,7998.00
MDG,Madagascar,2005,59,1,7977,7977.00
MOZ,Mozambique,2009,51,1,6500,6500.00
VNM,"Viet Nam",2000,90,1,6000,6000.00
NIC,Nicaragua,2005,78,1,5763,5763.00
BRB,Barbados,1980,99.5,1,5000,5000.00
MDG,Madagascar,2009,64.48,2,8102,4051.00
PHL,Philippines,2015,98,1,3300,3300.00
WSM,Samoa,1991,98,1,3000,3000.00
PHL,Philippines,2008,95,2,4645,2322.50
DOM,"Dominican Republic",2015,92,1,2100,2100.00
IND,India,2001,61,1,2000,2000.00
IDN,Indonesia,1980,67,1,800,800.00
MEX,Mexico,2017,95,2,1600,800.00
VCT,"Saint Vincent and the Grenadines",1980,96.9,1,500,500.00
BGD,Bangladesh,2007,46.66,1,225,225.00
SLV,"El Salvador",2017,88,1,50,50.00
DOM,"Dominican Republic",2016,94,1,9,9.00
