iso,country_name,avg_life_expectancy,avg_disasters_per_year
CHN,China,73.08,17.02
USA,"United States",76.41,16.29
IND,India,61.73,11.14
PHL,Philippines,67.88,10.45
IDN,Indonesia,65.53,9.93
RUS,"Russian Federation",66.97,5.86
BGD,Bangladesh,60.58,5.54
VNM,"Viet Nam",72.01,5.20
JPN,Japan,79.77,4.97
MEX,Mexico,71.31,4.61
AFG,Afghanistan,57.01,4.60
BRA,Brazil,68.41,4.55
AUS,Australia,79.1,4.18
PAK,Pakistan,62.65,4.15
IRN,"Iran, Islamic Republic of",67.23,4.00
COL,Colombia,71.24,3.84
COD,"Congo, The Democratic Republic of the",54.41,3.74
NGA,Nigeria,49.1,3.68
THA,Thailand,73.82,3.67
FRA,France,79.09,3.63
PER,Peru,67.72,3.38
MAC,Macao,80.61,3.00
KEN,Kenya,58.44,3.00
HTI,Haiti,57.8,2.91
ITA,Italy,78.88,2.89
UGA,Uganda,54.75,2.86
TUR,Turkey,69.06,2.85
DEU,Germany,78.74,2.83
GTM,Guatemala,67.8,2.81
MOZ,Mozambique,51.52,2.75
MYS,Malaysia,73.3,2.74
ETH,Ethiopia,52.9,2.66
ZAF,"South Africa",60.09,2.59
SDN,Sudan,56.69,2.59
BDI,Burundi,54.18,2.58
ROU,Romania,71.87,2.57
AGO,Angola,53.66,2.54
NPL,Nepal,60.69,2.53
TZA,"Tanzania, United Republic of",56.37,2.47
LKA,"Sri Lanka",72.22,2.46
CAN,Canada,78.9,2.44
ECU,Ecuador,70.45,2.43
TJK,Tajikistan,65.63,2.43
GBR,"United Kingdom",78.28,2.41
HKG,"Hong Kong",74.82,2.41
ARG,Argentina,73.51,2.39
YEM,Yemen,64.53,2.38
CHL,Chile,74.69,2.36
NER,Niger,53.19,2.34
SOM,Somalia,51.2,2.33
MWI,Malawi,52.78,2.32
BOL,"Bolivia, Plurinational State of",61.21,2.26
ESP,Spain,79.4,2.25
MDG,Madagascar,59.55,2.21
KOR,"Korea, Republic of",73.77,2.18
BGR,Bulgaria,72.72,2.17
SSD,"South Sudan",55.21,2.17
PNG,"Papua New Guinea",61.69,2.15
ZWE,Zimbabwe,51.53,2.15
SRB,Serbia,74.81,2.08
GRC,Greece,77.95,2.07
NIC,Nicaragua,66.58,2.05
HND,Honduras,66.96,2.02
SLV,"El Salvador",68.2,2.00
DOM,"Dominican Republic",69.34,1.98
MMR,Myanmar,60.65,1.93
POL,Poland,75,1.91
RWA,Rwanda,57.24,1.90
