iso,country_name,year,disaster_type,disaster_count,total_economic_damage,gdp_per_capita,tourism_previous_year,tourism_disaster_year,tourism_following_year,percent_change_during_year,percent_change_after_one_year
ESP,Spain,1962,Flood,1,576082.86,7586.92,NULL,NULL,NULL,NULL,NULL
IRN,"Iran, Islamic Republic of",1962,Earthquake,1,216030.63,2629.73,NULL,NULL,NULL,NULL,NULL
LBY,Libya,1963,Earthquake,1,35564.13,4893.77,NULL,NULL,NULL,NULL,NULL
BGD,Bangladesh,1964,Flood,1,35115.17,472.53,NULL,NULL,NULL,NULL,NULL
BRA,Brazil,1964,Flood,1,3511.59,2785.07,NULL,NULL,NULL,NULL,NULL
FJI,Fiji,1964,Flood,1,7725.21,2256.39,NULL,NULL,NULL,NULL,NULL
IND,India,1964,Flood,1,3511.59,346.01,NULL,NULL,NULL,NULL,NULL
JPN,Japan,1964,Earthquake,1,5618431.99,9084.8,NULL,NULL,NULL,NULL,NULL
MEX,Mexico,1964,Earthquake,1,21068.82,4845.87,NULL,NULL,NULL,NULL,NULL
PAK,Pakistan,1964,Flood,1,3511.59,482.25,NULL,NULL,NULL,NULL,NULL
TUN,Tunisia,1964,Flood,1,21068.82,1109.85,NULL,NULL,NULL,NULL,NULL
TUR,Turkey,1964,Earthquake,1,35115.17,2684.8,NULL,NULL,NULL,NULL,NULL
USA,"United States",1964,Earthquake,1,2184165.34,21437.58,NULL,NULL,NULL,NULL,NULL
USA,"United States",1964,Flood,1,5758892.68,21437.58,NULL,NULL,NULL,NULL,NULL
BOL,"Bolivia, Plurinational State of",1965,Flood,1,691.31,1444.23,NULL,NULL,NULL,NULL,NULL
BRA,Brazil,1965,Flood,2,117528.85,2772.67,NULL,NULL,NULL,NULL,NULL
CHL,Chile,1965,Earthquake,1,864181.13,3564.01,NULL,NULL,NULL,NULL,NULL
CHL,Chile,1965,Flood,1,69134.4,3564.01,NULL,NULL,NULL,NULL,NULL
DZA,Algeria,1965,Earthquake,1,13826.88,2311.74,NULL,NULL,NULL,NULL,NULL
ECU,Ecuador,1965,Flood,1,27653.76,2586.07,NULL,NULL,NULL,NULL,NULL
GRC,Greece,1965,Earthquake,1,55307.52,7481.9,NULL,NULL,NULL,NULL,NULL
HND,Honduras,1965,Flood,1,3456.54,1342.51,NULL,NULL,NULL,NULL,NULL
JOR,Jordan,1965,Flood,1,6913.8,NULL,NULL,NULL,NULL,NULL,NULL
JPN,Japan,1965,Flood,1,622210.36,9510.55,NULL,NULL,NULL,NULL,NULL
KOR,"Korea, Republic of",1965,Flood,1,252341.11,1274.27,NULL,NULL,NULL,NULL,NULL
MAR,Morocco,1965,Flood,1,34567.56,NULL,NULL,NULL,NULL,NULL,NULL
MEX,Mexico,1965,Flood,1,55307.52,5021.35,NULL,NULL,NULL,NULL,NULL
MYS,Malaysia,1965,Flood,1,6913.8,1551.34,NULL,NULL,NULL,NULL,NULL
PRY,Paraguay,1965,Flood,1,13826.88,1710.03,NULL,NULL,NULL,NULL,NULL
SLV,"El Salvador",1965,Earthquake,1,241970.77,2637,NULL,NULL,NULL,NULL,NULL
USA,"United States",1965,Earthquake,1,193576.33,22526.21,NULL,NULL,NULL,NULL,NULL
ARG,Argentina,1966,Flood,1,201333,8041.22,NULL,NULL,NULL,NULL,NULL
BGD,Bangladesh,1966,Flood,1,6710.77,464.56,NULL,NULL,NULL,NULL,NULL
BOL,"Bolivia, Plurinational State of",1966,Flood,2,4147.85,1514.71,NULL,NULL,NULL,NULL,NULL
