Country Code,Year,gdp_per_capita
AFG,1960,
AGO,1960,
ALB,1960,
ARE,1960,
ARG,1960,7397.109655
ARM,1960,
ASM,1960,
ATG,1960,
AUS,1960,19905.31347
AUT,1960,11894.74408
AZE,1960,
BDI,1960,288.8789818
BEL,1960,11715.82688
BEN,1960,655.9130076
BFA,1960,244.1672579
BGD,1960,429.3987009
BGR,1960,
BHR,1960,
BHS,1960,18789.51158
BIH,1960,
BLR,1960,
BLZ,1960,1554.736509
BMU,1960,39906.02194
BOL,1960,1276.96577
BRA,1960,2603.519011
BRB,1960,7381.797144
BRN,1960,
BTN,1960,
BWA,1960,393.8617425
CAF,1960,575.8943915
CAN,1960,15432.47178
CHE,1960,39907.26395
CHL,1960,3283.956908
CHN,1960,238.217052
CIV,1960,1495.167468
CMR,1960,935.6999548
COD,1960,1255.696609
COG,1960,1192.856165
COL,1960,1961.229144
COM,1960,
CPV,1960,
CRI,1960,3609.409198
CUB,1960,
CYM,1960,
CYP,1960,
CZE,1960,
DEU,1960,12600.3274
DJI,1960,
DMA,1960,
DNK,1960,17520.74648
DOM,1960,1386.307282
DZA,1960,2388.420079
ECU,1960,2391.680043
EGY,1960,754.6651274
ERI,1960,
ESP,1960,6284.851985
EST,1960,
ETH,1960,
FIN,1960,11153.77878
FJI,1960,2135.001078
FRA,1960,10733.3039
FSM,1960,
GAB,1960,3311.296938
GBR,1960,15136.0246
GEO,1960,1438.215694
GHA,1960,1100.077343
GIN,1960,
GMB,1960,
GNB,1960,
GNQ,1960,
GRC,1960,4985.760464
GRD,1960,
GTM,1960,1884.560563
GUM,1960,
GUY,1960,2733.670174
HKG,1960,
HND,1960,1206.667873
HRV,1960,
HTI,1960,1735.026571
HUN,1960,2075.779858
IDN,1960,597.7345067
IND,1960,312.7778478
IRL,1960,8532.597193
IRN,1960,2345.110872
IRQ,1960,997.9255815
ISL,1960,13502.26592
ISR,1960,8756.373299
ITA,1960,9731.196254
JAM,1960,
JOR,1960,
JPN,1960,6388.878101
KAZ,1960,
KEN,1960,792.9580202
KGZ,1960,
KHM,1960,
KIR,1960,
KNA,1960,
KOR,1960,1027.654781
KWT,1960,
LAO,1960,
LBN,1960,
LBR,1960,2444.314695
LBY,1960,2818.01055
LCA,1960,
LIE,1960,
LKA,1960,
LSO,1960,262.7404305
LTU,1960,
LUX,1960,27861.16889
LVA,1960,
MAC,1960,
MAF,1960,
MAR,1960,
MDA,1960,
MDG,1960,812.2503619
MDV,1960,
MEX,1960,4145.793022
MHL,1960,
MKD,1960,
MLI,1960,
MLT,1960,
MMR,1960,129.7720402
MNE,1960,
MNG,1960,
MNP,1960,
MOZ,1960,
MRT,1960,
MUS,1960,1413.728252
MWI,1960,260.3728038
MYS,1960,1266.315257
NAM,1960,
NCL,1960,
NER,1960,742.4089108
NGA,1960,1454.980919
NIC,1960,1672.280625
NLD,1960,14369.9782
NOR,1960,19209.41499
NPL,1960,327.1552399
NZL,1960,17776.55107
OMN,1960,0.002354848378
PAK,1960,413.9618625
PAN,1960,2809.096355
PER,1960,2704.369499
PHL,1960,1123.7821
PLW,1960,
PNG,1960,1312.56006
POL,1960,
PRI,1960,6307.407293
PRK,1960,
PRT,1960,4066.962838
PRY,1960,1508.161413
PSE,1960,
PYF,1960,
QAT,1960,
ROU,1960,
RUS,1960,
RWA,1960,335.4405485
SAU,1960,15761.62789
SDN,1960,851.7324219
SEN,1960,1151.002139
SGP,1960,3611.953651
SLB,1960,
SLE,1960,789.4369531
SLV,1960,
SOM,1960,318.8248453
SRB,1960,
SSD,1960,
STP,1960,
SUR,1960,3940.081348
SVK,1960,
SVN,1960,
SWE,1960,16812.15163
SWZ,1960,
SXM,1960,
SYC,1960,3169.871936
SYR,1960,517.1311047
TCA,1960,
TCD,1960,556.4109749
TGO,1960,449.3425711
THA,1960,592.4656351
TJK,1960,
TKM,1960,
TLS,1960,
TON,1960,
TTO,1960,4291.331519
TUN,1960,
TUR,1960,2433.647958
TUV,1960,
TZA,1960,834.4924316
UGA,1960,
UKR,1960,
URY,1960,6634.190641
USA,1960,18991.5446
UZB,1960,
VCT,1960,1886.328676
VEN,1960,
VGB,1960,
VIR,1960,
VNM,1960,
VUT,1960,
WSM,1960,
YEM,1960,
ZAF,1960,3993.436797
ZMB,1960,1187.704601
