Country Code,Year,life_expectancy
AFG,1960,32.535
AGO,1960,38.211
ALB,1960,54.439
ARE,1960,48.811
ARG,1960,63.978
ARM,1960,61.431
ASM,1960,
ATG,1960,61.55
AUS,1960,70.8170731707317
AUT,1960,68.5856097560976
AZE,1960,55.837
BDI,1960,43.024
BEL,1960,69.7019512195122
BEN,1960,38.181
BFA,1960,35.872
BGD,1960,44.74
BGR,1960,69.2475609756098
BHR,1960,50.33
BHS,1960,62.896
BIH,1960,61.037
BLR,1960,69.2546097560976
BLZ,1960,58.163
BMU,1960,67.162
BOL,1960,43.1
BRA,1960,52.66
BRB,1960,64.564
BRN,1960,56.793
BTN,1960,33.465
BWA,1960,50.372
CAF,1960,39.236
CAN,1960,71.1331707317073
CHE,1960,71.3134146341463
CHL,1960,57.015
CHN,1960,33.275
CIV,1960,38.108
CMR,1960,34.819
COD,1960,40.857
COG,1960,47.979
COL,1960,57.13
COM,1960,39.694
CPV,1960,49.411
CRI,1960,60.415
CUB,1960,64.173
CYM,1960,
CYP,1960,64.187
CZE,1960,70.3487804878049
DEU,1960,69.0640731707317
DJI,1960,43.429
DMA,1960,59.026
DNK,1960,72.1765853658537
DOM,1960,50.264
DZA,1960,40.532
ECU,1960,53.364
EGY,1960,45.373
ERI,1960,37.5
ESP,1960,69.1092682926829
EST,1960,68.933512195122
ETH,1960,40.33
FIN,1960,68.819756097561
FJI,1960,57.588
FRA,1960,69.8682926829268
FSM,1960,56.409
GAB,1960,46.575
GBR,1960,71.1268292682927
GEO,1960,61.222
GHA,1960,47.096
GIN,1960,36.547
GMB,1960,35.098
GNB,1960,37.464
GNQ,1960,41.729
GRC,1960,69.3
GRD,1960,60.76
GTM,1960,45.808
GUM,1960,60.897
GUY,1960,58.034
HKG,1960,65.8662926829268
HND,1960,48.317
HRV,1960,65.4823658536585
HTI,1960,43.499
HUN,1960,68.0031707317073
IDN,1960,46.452
IND,1960,45.218
IRL,1960,70.1942682926829
IRN,1960,43.957
IRQ,1960,52.618
ISL,1960,73.7620487804878
ISR,1960,
ITA,1960,69.1239024390244
JAM,1960,64.042
JOR,1960,52.617
JPN,1960,67.6956097560976
KAZ,1960,58.370512195122
KEN,1960,48.68
KGZ,1960,55.0830243902439
KHM,1960,42.361
KIR,1960,47.873
KNA,1960,55.909
KOR,1960,54.320243902439
KWT,1960,56.919
LAO,1960,40.79
LBN,1960,64.841
LBR,1960,38.33
LBY,1960,40.268
LCA,1960,55.724
LIE,1960,
LKA,1960,60.699
LSO,1960,50.364
LTU,1960,69.8473170731707
LUX,1960,68.5925365853659
LVA,1960,69.7868292682927
MAC,1960,64.965
MAF,1960,67.865
MAR,1960,42.017
MDA,1960,61.074
MDG,1960,43.241
MDV,1960,38.529
MEX,1960,55.017
MHL,1960,53.821
MKD,1960,56.2230487804878
MLI,1960,29.754
MLT,1960,68.2142926829268
MMR,1960,43.906
MNE,1960,64.8736097560976
MNG,1960,44.984
MNP,1960,
MOZ,1960,41.221
MRT,1960,44.767
MUS,1960,55.4665365853659
MWI,1960,35.199
MYS,1960,56.502
NAM,1960,47.679
NCL,1960,58.6390243902439
NER,1960,36.404
NGA,1960,37.371
NIC,1960,46.125
NLD,1960,73.3926829268293
NOR,1960,73.549756097561
NPL,1960,38.559
NZL,1960,71.2365853658537
OMN,1960,35.45
PAK,1960,44.932
PAN,1960,60.702
PER,1960,50.495
PHL,1960,59.227
PLW,1960,
PNG,1960,45.679
POL,1960,67.6804878048781
PRI,1960,68.934
PRK,1960,54.05
PRT,1960,64.0074634146342
PRY,1960,60.423
PSE,1960,
PYF,1960,59.675
QAT,1960,58.933
ROU,1960,65.8605365853659
RUS,1960,67.4652195121951
RWA,1960,47.178
SAU,1960,45.94
SDN,1960,46.603
SEN,1960,39.878
SGP,1960,64.6946829268293
SLB,1960,47.741
SLE,1960,33.961
SLV,1960,48.084
SOM,1960,43.452
SRB,1960,63.934
SSD,1960,28.662
STP,1960,43.04
SUR,1960,57.102
SVK,1960,70.2697804878049
SVN,1960,68.9780487804878
SWE,1960,73.0056097560976
SWZ,1960,45.813
SXM,1960,66.246
SYC,1960,
SYR,1960,53.547
TCA,1960,55.032
TCD,1960,38.374
TGO,1960,42.692
THA,1960,51.035
TJK,1960,53.628
TKM,1960,53.469
TLS,1960,32.2
TON,1960,58.231
TTO,1960,63.026
TUN,1960,43.94
TUR,1960,50.74
TUV,1960,46.355
TZA,1960,42.937
UGA,1960,45.506
UKR,1960,69.4850487804878
URY,1960,67.772
USA,1960,69.7707317073171
UZB,1960,57.473
VCT,1960,56.443
VEN,1960,58.647
VGB,1960,59.564
VIR,1960,63.7459756097561
VNM,1960,59.657
VUT,1960,49.63
WSM,1960,54.688
YEM,1960,33.678
ZAF,1960,52.669
ZMB,1960,49.042
ZWE,1960,53.235
AFG,1961,33.068
AGO,1961,37.267
ALB,1961,55.634
ARE,1961,49.695
ARG,1961,64.36
ARM,1961,61.803
ASM,1961,
ATG,1961,62.363
AUS,1961,70.9731707317073
AUT,1961,69.5773170731707
AZE,1961,56.192
BDI,1961,43.252
BEL,1961,70.5209756097561
BEN,1961,38.542
BFA,1961,36.24
BGD,1961,45.662
BGR,1961,70.1956097560976
BHR,1961,52.112
BHS,1961,63.185
BIH,1961,61.856
BLR,1961,69.7383902439024
BLZ,1961,53.356
BMU,1961,64.111
BOL,1961,43.4
BRA,1961,53.183
BRB,1961,65.318
BRN,1961,57.817
BTN,1961,33.946
BWA,1961,50.891
CAF,1961,39.737
CAN,1961,71.3460975609756
CHE,1961,71.6448780487805
CHL,1961,57.537
CHN,1961,40.468
CIV,1961,38.744
CMR,1961,35.406
COD,1961,40.239
COG,1961,48.697
COL,1961,57.73
COM,1961,40.147
CPV,1961,49.953
CRI,1961,60.901
CUB,1961,64.512
CYM,1961,
CYP,1961,64.804
CZE,1961,70.5126829268293
DEU,1961,69.6448780487805
DJI,1961,43.721
DMA,1961,59.949
DNK,1961,72.4382926829268
DOM,1961,50.84
DZA,1961,40.516
ECU,1961,53.895
EGY,1961,46.024
ERI,1961,37.974
ESP,1961,69.4804878048781
EST,1961,68.9621219512195
ETH,1961,40.995
FIN,1961,68.8441463414634
FJI,1961,58.199
FRA,1961,70.1170731707317
FSM,1961,57.11
GAB,1961,47.228
GBR,1961,70.8780487804878
GEO,1961,61.416
GHA,1961,47.325
GIN,1961,36.75
GMB,1961,35.568
GNB,1961,37.695
GNQ,1961,41.994
GRC,1961,70.3158536585366
GRD,1961,61.792
GTM,1961,46.47
GUM,1961,61.395
GUY,1961,58.46
HKG,1961,66.5588780487805
HND,1961,48.73
HRV,1961,66.1803414634146
HTI,1961,43.914
HUN,1961,68.9360975609756
IDN,1961,47.117
IND,1961,45.398
IRL,1961,69.6782926829268
IRN,1961,44.55
IRQ,1961,53.411
ISL,1961,73.5034146341464
ISR,1961,72.0065853658537
ITA,1961,69.760243902439
JAM,1961,64.394
JOR,1961,53.671
JPN,1961,68.3519512195122
KAZ,1961,58.5030731707317
KEN,1961,49.533
KGZ,1961,55.3209512195122
KHM,1961,42.792
KIR,1961,48.381
KNA,1961,55.818
KOR,1961,54.924
KWT,1961,58.015
LAO,1961,41.066
LBN,1961,65.29
LBR,1961,38.333
LBY,1961,42.063
LCA,1961,56.993
LIE,1961,
LKA,1961,61.328
LSO,1961,50.429
LTU,1961,70.1026829268293
LUX,1961,69.2668292682927
LVA,1961,70.0324390243903
MAC,1961,65.485
MAF,1961,67.704
MAR,1961,43.795
MDA,1961,61.446
MDG,1961,43.636
MDV,1961,38.982
MEX,1961,55.831
MHL,1961,54.316
MKD,1961,57.7998292682927
MLI,1961,29.83
MLT,1961,68.0136097560976
MMR,1961,44.385
MNE,1961,65.4191219512195
MNG,1961,46.068
MNP,1961,
MOZ,1961,41.59
MRT,1961,45.44
MUS,1961,56.5219756097561
MWI,1961,35.326
MYS,1961,57.434
NAM,1961,48.374
NCL,1961,59.0390243902439
NER,1961,36.556
NGA,1961,37.673
NIC,1961,46.948
NLD,1961,73.6526829268293
NOR,1961,73.5504878048781
NPL,1961,38.855
NZL,1961,70.9853658536585
OMN,1961,36.823
PAK,1961,45.783
PAN,1961,61.471
PER,1961,51.091
PHL,1961,59.619
PLW,1961,
PNG,1961,46.292
POL,1961,67.7780487804878
PRI,1961,69.262
PRK,1961,54.496
PRT,1961,62.666512195122
PRY,1961,60.755
PSE,1961,
PYF,1961,59.996
QAT,1961,59.626
ROU,1961,65.8771463414634
RUS,1961,67.6309512195122
RWA,1961,47.664
SAU,1961,46.484
SDN,1961,47.023
SEN,1961,39.917
SGP,1961,65.5179512195122
SLB,1961,48.434
SLE,1961,34.412
SLV,1961,48.849
SOM,1961,43.563
SRB,1961,64.0574146341464
SSD,1961,28.84
STP,1961,44.359
SUR,1961,57.767
SVK,1961,70.7239024390244
SVN,1961,68.9780487804878
SWE,1961,73.4743902439024
SWZ,1961,46.191
SXM,1961,65.73
SYC,1961,
SYR,1961,54.437
TCA,1961,55.313
TCD,1961,38.631
TGO,1961,42.882
THA,1961,52.364
TJK,1961,53.998
TKM,1961,53.939
TLS,1961,32.574
TON,1961,58.589
TTO,1961,62.865
TUN,1961,44.146
TUR,1961,51.55
TUV,1961,47.271
TZA,1961,43.1
UGA,1961,46.257
UKR,1961,69.5723658536586
URY,1961,67.895
USA,1961,70.2707317073171
UZB,1961,57.795
VCT,1961,57.932
VEN,1961,59.407
VGB,1961,60.219
VIR,1961,63.7845365853659
VNM,1961,60.261
VUT,1961,50.15
WSM,1961,55.315
YEM,1961,34.098
ZAF,1961,53.085
ZMB,1961,49.452
ZWE,1961,53.619
AFG,1962,33.547
AGO,1962,37.539
ALB,1962,56.671
ARE,1962,50.686
ARG,1962,64.244
ARM,1962,62.125
ASM,1962,
ATG,1962,63.192
AUS,1962,70.9424390243903
AUT,1962,69.309512195122
AZE,1962,56.516
BDI,1962,43.441
BEL,1962,70.219512195122
BEN,1962,38.928
BFA,1962,36.665
BGD,1962,46.701
BGR,1962,69.4919512195122
BHR,1962,53.697
BHS,1962,63.433
BIH,1962,62.511
BLR,1962,69.4623170731708
BLZ,1962,59.0
BMU,1962,63.837
BOL,1962,43.791
BRA,1962,53.71
BRB,1962,65.897
BRN,1962,57.667
BTN,1962,34.469
BWA,1962,51.389
CAF,1962,40.256
CAN,1962,71.3670731707317
CHE,1962,71.1960975609756
CHL,1962,57.771
CHN,1962,50.818
CIV,1962,39.402
CMR,1962,42.516
COD,1962,40.342
COG,1962,49.499
COL,1962,58.301
COM,1962,40.58
CPV,1962,50.392
CRI,1962,61.111
CUB,1962,65.038
CYM,1962,
CYP,1962,65.424
CZE,1962,69.7868292682927
DEU,1962,69.7992195121951
DJI,1962,44.088
DMA,1962,61.741
DNK,1962,72.319756097561
DOM,1962,51.411
DZA,1962,39.323
ECU,1962,54.401
EGY,1962,46.843
ERI,1962,38.393
ESP,1962,69.5190243902439
EST,1962,68.7918048780488
ETH,1962,41.403
FIN,1962,68.5778048780488
FJI,1962,58.934
FRA,1962,70.3146341463415
FSM,1962,57.803
GAB,1962,47.838
GBR,1962,70.9268292682927
GEO,1962,61.858
GHA,1962,47.405
GIN,1962,36.913
GMB,1962,35.989
GNB,1962,37.932
GNQ,1962,42.258
GRC,1962,70.2549756097561
GRD,1962,62.877
GTM,1962,46.995
GUM,1962,61.708
GUY,1962,58.864
HKG,1962,66.9771707317073
HND,1962,49.668
HRV,1962,66.4691463414634
HTI,1962,44.291
HUN,1962,67.8658536585366
IDN,1962,47.871
IND,1962,45.659
IRL,1962,69.9910487804878
IRN,1962,44.269
IRQ,1962,54.326
ISL,1962,73.7219512195122
ISR,1962,72.1121951219512
ITA,1962,69.149756097561
JAM,1962,64.491
JOR,1962,54.658
JPN,1962,68.6348780487805
KAZ,1962,58.621756097561
KEN,1962,50.224
KGZ,1962,55.6489268292683
KHM,1962,43.316
KIR,1962,48.96
KNA,1962,57.183
